city,sample
aachen,297_5626
aachen,301_5623
aachen,286_5631
aachen,301_5627
aachen,293_5633
aachen,297_5622
aachen,287_5631
aachen,300_5623
aachen,296_5626
aachen,292_5637
aachen,296_5622
aachen,292_5633
aachen,300_5627
aachen,302_5627
aachen,290_5633
aachen,294_5622
aachen,288_5629
aachen,290_5637
aachen,294_5626
aachen,302_5623
aachen,298_5615
aachen,298_5619
aachen,299_5619
aachen,295_5622
aachen,291_5633
aachen,295_5626
aachen,289_5629
aachen,291_5637
aachen,288_5634
aachen,299_5623
aachen,299_5627
aachen,288_5630
aachen,303_5619
aachen,302_5632
aachen,290_5626
aachen,294_5633
aachen,290_5622
aachen,291_5626
aachen,302_5619
aachen,291_5622
aachen,295_5633
aachen,298_5623
aachen,289_5634
aachen,289_5630
aachen,298_5627
aachen,296_5618
aachen,293_5622
aachen,301_5632
aachen,300_5619
aachen,293_5626
aachen,292_5622
aachen,297_5618
aachen,296_5633
aachen,292_5626
aachen,301_5619
aachen,300_5632
aachen,290_5627
aachen,294_5632
aachen,290_5623
aachen,288_5635
aachen,299_5622
aachen,299_5626
aachen,288_5631
aachen,298_5622
aachen,289_5635
aachen,289_5631
aachen,298_5626
aachen,291_5627
aachen,302_5618
aachen,291_5623
aachen,295_5632
aachen,296_5619
aachen,293_5623
aachen,300_5618
aachen,293_5627
aachen,292_5623
aachen,296_5632
aachen,297_5619
aachen,292_5627
aachen,301_5618
aachen,293_5636
aachen,297_5627
aachen,286_5630
aachen,301_5622
aachen,301_5626
aachen,293_5632
aachen,297_5623
aachen,300_5622
aachen,287_5630
aachen,296_5627
aachen,292_5636
aachen,296_5623
aachen,292_5632
aachen,300_5626
aachen,298_5618
aachen,302_5626
aachen,290_5632
aachen,294_5623
aachen,290_5636
aachen,288_5628
aachen,294_5627
aachen,302_5622
aachen,295_5623
aachen,291_5632
aachen,295_5627
aachen,291_5636
aachen,289_5628
aachen,299_5618
aachen,298_5620
aachen,289_5637
aachen,291_5629
aachen,289_5633
aachen,298_5624
aachen,291_5625
aachen,298_5628
aachen,295_5630
aachen,302_5631
aachen,290_5625
aachen,294_5634
aachen,294_5630
aachen,299_5628
aachen,288_5637
aachen,290_5629
aachen,299_5620
aachen,299_5624
aachen,288_5633
aachen,296_5630
aachen,292_5625
aachen,300_5631
aachen,301_5616
aachen,292_5629
aachen,293_5629
aachen,300_5616
aachen,297_5630
aachen,301_5631
aachen,293_5625
aachen,296_5629
aachen,292_5638
aachen,300_5628
aachen,287_5632
aachen,300_5620
aachen,292_5634
aachen,296_5625
aachen,292_5630
aachen,296_5621
aachen,300_5624
aachen,297_5625
aachen,293_5634
aachen,301_5620
aachen,286_5632
aachen,301_5624
aachen,297_5621
aachen,293_5630
aachen,293_5638
aachen,297_5629
aachen,301_5628
aachen,291_5630
aachen,303_5620
aachen,299_5616
aachen,291_5634
aachen,295_5625
aachen,295_5629
aachen,289_5626
aachen,298_5631
aachen,302_5628
aachen,299_5631
aachen,288_5626
aachen,294_5629
aachen,302_5624
aachen,290_5630
aachen,294_5625
aachen,290_5634
aachen,298_5616
aachen,302_5620
aachen,300_5621
aachen,287_5633
aachen,292_5635
aachen,296_5624
aachen,292_5631
aachen,296_5620
aachen,300_5625
aachen,296_5628
aachen,292_5639
aachen,300_5629
aachen,297_5628
aachen,301_5629
aachen,297_5624
aachen,293_5635
aachen,286_5633
aachen,301_5621
aachen,301_5625
aachen,297_5620
aachen,293_5631
aachen,295_5628
aachen,289_5627
aachen,298_5630
aachen,291_5631
aachen,299_5617
aachen,291_5635
aachen,295_5624
aachen,302_5625
aachen,290_5631
aachen,294_5624
aachen,290_5635
aachen,298_5617
aachen,302_5621
aachen,299_5630
aachen,288_5627
aachen,294_5628
aachen,291_5624
aachen,298_5629
aachen,295_5631
aachen,298_5621
aachen,291_5628
aachen,289_5636
aachen,289_5632
aachen,298_5625
aachen,290_5628
aachen,288_5636
aachen,299_5621
aachen,299_5625
aachen,288_5632
aachen,302_5630
aachen,290_5624
aachen,294_5631
aachen,299_5629
aachen,301_5617
aachen,292_5628
aachen,296_5631
aachen,292_5624
aachen,300_5630
aachen,297_5631
aachen,301_5630
aachen,293_5624
aachen,293_5628
aachen,300_5617
bergisch,370_5648
bergisch,368_5652
bergisch,370_5644
bergisch,365_5646
bergisch,374_5651
bergisch,371_5644
bergisch,375_5651
bergisch,371_5648
bergisch,369_5652
bergisch,366_5646
bergisch,373_5644
bergisch,373_5648
bergisch,372_5648
bergisch,367_5646
bergisch,372_5644
bergisch,377_5648
bergisch,366_5653
bergisch,373_5651
bergisch,367_5653
bergisch,372_5651
bergisch,376_5648
bergisch,370_5651
bergisch,365_5653
bergisch,368_5647
bergisch,374_5648
bergisch,369_5643
bergisch,375_5648
bergisch,369_5647
bergisch,371_5651
bergisch,364_5653
bergisch,366_5652
bergisch,373_5650
bergisch,377_5649
bergisch,376_5649
bergisch,367_5652
bergisch,372_5650
bergisch,368_5646
bergisch,374_5649
bergisch,370_5650
bergisch,365_5652
bergisch,374_5645
bergisch,371_5650
bergisch,364_5652
bergisch,369_5642
bergisch,375_5649
bergisch,369_5646
bergisch,370_5645
bergisch,365_5647
bergisch,374_5650
bergisch,370_5649
bergisch,368_5653
bergisch,371_5649
bergisch,369_5653
bergisch,371_5645
bergisch,375_5650
bergisch,373_5649
bergisch,366_5647
bergisch,377_5650
bergisch,373_5645
bergisch,376_5650
bergisch,367_5647
bergisch,372_5645
bergisch,372_5649
bergisch,376_5647
bergisch,367_5650
bergisch,372_5652
bergisch,366_5650
bergisch,373_5652
bergisch,366_5654
bergisch,364_5654
bergisch,371_5652
bergisch,375_5647
bergisch,369_5648
bergisch,364_5650
bergisch,369_5644
bergisch,370_5652
bergisch,365_5654
bergisch,365_5650
bergisch,368_5648
bergisch,374_5647
bergisch,369_5651
bergisch,371_5647
bergisch,371_5643
bergisch,370_5647
bergisch,370_5643
bergisch,368_5651
bergisch,365_5649
bergisch,372_5643
bergisch,367_5645
bergisch,372_5647
bergisch,367_5649
bergisch,366_5649
bergisch,366_5645
bergisch,373_5647
bergisch,371_5646
bergisch,369_5650
bergisch,368_5650
bergisch,370_5646
bergisch,367_5648
bergisch,367_5644
bergisch,372_5646
bergisch,373_5646
bergisch,366_5648
bergisch,367_5651
bergisch,372_5653
bergisch,366_5651
bergisch,373_5653
bergisch,369_5645
bergisch,371_5653
bergisch,375_5646
bergisch,369_5649
bergisch,364_5651
bergisch,370_5653
bergisch,365_5651
bergisch,368_5649
bergisch,374_5646
bergisch,368_5645
bielefeld,463_5754
bielefeld,473_5768
bielefeld,466_5766
bielefeld,473_5760
bielefeld,473_5764
bielefeld,463_5758
bielefeld,466_5762
bielefeld,472_5760
bielefeld,467_5766
bielefeld,467_5762
bielefeld,462_5758
bielefeld,472_5764
bielefeld,472_5768
bielefeld,470_5764
bielefeld,460_5758
bielefeld,465_5762
bielefeld,465_5766
bielefeld,469_5755
bielefeld,470_5760
bielefeld,470_5768
bielefeld,469_5759
bielefeld,468_5772
bielefeld,475_5756
bielefeld,471_5768
bielefeld,474_5756
bielefeld,457_5757
bielefeld,469_5772
bielefeld,468_5759
bielefeld,464_5762
bielefeld,461_5758
bielefeld,468_5751
bielefeld,471_5764
bielefeld,471_5760
bielefeld,468_5755
bielefeld,464_5766
bielefeld,471_5756
bielefeld,468_5763
bielefeld,474_5768
bielefeld,468_5767
bielefeld,471_5752
bielefeld,464_5754
bielefeld,470_5771
bielefeld,474_5760
bielefeld,461_5766
bielefeld,464_5758
bielefeld,465_5773
bielefeld,474_5764
bielefeld,460_5766
bielefeld,475_5760
bielefeld,475_5764
bielefeld,464_5773
bielefeld,465_5758
bielefeld,469_5763
bielefeld,470_5756
bielefeld,465_5754
bielefeld,470_5752
bielefeld,469_5767
bielefeld,475_5768
bielefeld,466_5773
bielefeld,467_5758
bielefeld,458_5756
bielefeld,462_5762
bielefeld,462_5766
bielefeld,472_5752
bielefeld,467_5754
bielefeld,472_5756
bielefeld,466_5754
bielefeld,473_5756
bielefeld,476_5764
bielefeld,463_5762
bielefeld,459_5756
bielefeld,466_5758
bielefeld,467_5773
bielefeld,463_5766
bielefeld,472_5771
bielefeld,470_5770
bielefeld,474_5761
bielefeld,465_5772
bielefeld,464_5759
bielefeld,461_5763
bielefeld,474_5765
bielefeld,468_5762
bielefeld,471_5757
bielefeld,474_5769
bielefeld,471_5753
bielefeld,468_5766
bielefeld,464_5755
bielefeld,470_5757
bielefeld,469_5762
bielefeld,465_5751
bielefeld,465_5755
bielefeld,469_5766
bielefeld,470_5753
bielefeld,475_5761
bielefeld,471_5770
bielefeld,475_5765
bielefeld,465_5759
bielefeld,464_5772
bielefeld,472_5753
bielefeld,467_5755
bielefeld,472_5757
bielefeld,467_5759
bielefeld,466_5772
bielefeld,462_5763
bielefeld,458_5757
bielefeld,473_5770
bielefeld,462_5767
bielefeld,476_5765
bielefeld,459_5757
bielefeld,463_5763
bielefeld,467_5772
bielefeld,466_5759
bielefeld,463_5767
bielefeld,476_5761
bielefeld,472_5770
bielefeld,466_5755
bielefeld,473_5753
bielefeld,473_5757
bielefeld,466_5751
bielefeld,466_5767
bielefeld,473_5761
bielefeld,473_5765
bielefeld,463_5759
bielefeld,466_5763
bielefeld,463_5755
bielefeld,473_5769
bielefeld,472_5769
bielefeld,462_5755
bielefeld,472_5761
bielefeld,467_5767
bielefeld,467_5763
bielefeld,462_5759
bielefeld,463_5772
bielefeld,472_5765
bielefeld,460_5755
bielefeld,470_5769
bielefeld,468_5773
bielefeld,469_5758
bielefeld,475_5757
bielefeld,470_5765
bielefeld,465_5763
bielefeld,465_5767
bielefeld,470_5761
bielefeld,469_5754
bielefeld,464_5763
bielefeld,461_5759
bielefeld,471_5765
bielefeld,468_5754
bielefeld,471_5761
bielefeld,464_5767
bielefeld,474_5753
bielefeld,471_5769
bielefeld,461_5755
bielefeld,474_5757
bielefeld,468_5758
bielefeld,469_5773
bielefeld,469_5760
bielefeld,470_5755
bielefeld,465_5753
bielefeld,465_5757
bielefeld,469_5764
bielefeld,460_5765
bielefeld,470_5759
bielefeld,475_5763
bielefeld,469_5768
bielefeld,475_5767
bielefeld,464_5770
bielefeld,474_5763
bielefeld,471_5759
bielefeld,470_5772
bielefeld,461_5765
bielefeld,465_5770
bielefeld,474_5767
bielefeld,468_5768
bielefeld,471_5755
bielefeld,468_5760
bielefeld,468_5764
bielefeld,464_5757
bielefeld,476_5767
bielefeld,467_5770
bielefeld,463_5761
bielefeld,463_5765
bielefeld,473_5759
bielefeld,476_5763
bielefeld,466_5757
bielefeld,473_5755
bielefeld,463_5769
bielefeld,466_5753
bielefeld,467_5757
bielefeld,467_5753
bielefeld,462_5769
bielefeld,472_5755
bielefeld,462_5761
bielefeld,466_5770
bielefeld,472_5759
bielefeld,462_5765
bielefeld,467_5769
bielefeld,462_5757
bielefeld,472_5763
bielefeld,467_5765
bielefeld,463_5770
bielefeld,467_5761
bielefeld,472_5767
bielefeld,466_5765
bielefeld,473_5763
bielefeld,476_5759
bielefeld,473_5767
bielefeld,466_5761
bielefeld,462_5770
bielefeld,466_5769
bielefeld,463_5757
bielefeld,464_5761
bielefeld,468_5752
bielefeld,471_5767
bielefeld,474_5759
bielefeld,457_5758
bielefeld,471_5763
bielefeld,468_5756
bielefeld,464_5765
bielefeld,461_5757
bielefeld,464_5769
bielefeld,469_5771
bielefeld,474_5755
bielefeld,460_5757
bielefeld,475_5755
bielefeld,468_5771
bielefeld,465_5769
bielefeld,470_5767
bielefeld,469_5752
bielefeld,465_5761
bielefeld,465_5765
bielefeld,469_5756
bielefeld,470_5763
bielefeld,475_5759
bielefeld,472_5762
bielefeld,467_5764
bielefeld,463_5771
bielefeld,467_5760
bielefeld,472_5766
bielefeld,467_5768
bielefeld,462_5756
bielefeld,466_5768
bielefeld,463_5756
bielefeld,466_5764
bielefeld,473_5762
bielefeld,476_5758
bielefeld,473_5766
bielefeld,466_5760
bielefeld,461_5756
bielefeld,464_5768
bielefeld,469_5770
bielefeld,474_5754
bielefeld,464_5760
bielefeld,471_5766
bielefeld,468_5753
bielefeld,474_5758
bielefeld,468_5757
bielefeld,471_5762
bielefeld,464_5764
bielefeld,469_5753
bielefeld,470_5766
bielefeld,465_5760
bielefeld,465_5764
bielefeld,470_5762
bielefeld,469_5757
bielefeld,475_5758
bielefeld,460_5756
bielefeld,468_5770
bielefeld,465_5768
bielefeld,460_5764
bielefeld,470_5758
bielefeld,475_5762
bielefeld,469_5769
bielefeld,475_5766
bielefeld,464_5771
bielefeld,470_5754
bielefeld,469_5761
bielefeld,465_5752
bielefeld,465_5756
bielefeld,469_5765
bielefeld,468_5761
bielefeld,471_5754
bielefeld,468_5765
bielefeld,464_5756
bielefeld,474_5762
bielefeld,470_5773
bielefeld,471_5758
bielefeld,461_5764
bielefeld,465_5771
bielefeld,474_5766
bielefeld,468_5769
bielefeld,459_5758
bielefeld,466_5756
bielefeld,473_5754
bielefeld,463_5768
bielefeld,466_5752
bielefeld,476_5766
bielefeld,467_5771
bielefeld,463_5760
bielefeld,463_5764
bielefeld,473_5758
bielefeld,476_5762
bielefeld,462_5760
bielefeld,466_5771
bielefeld,472_5758
