area,date
10,201512
10,202002
10,202004
10,202006
10,202008
10,202010
10,202012
10,202402
10,202404
10,202406
10,202408
10,202410
10,202412
11,202402
11,202404
11,202406
11,202408
11,202410
11,202412
11,201512
11,202002
11,202004
11,202006
11,202008
11,202010
11,202012
2,202404
2,202406
2,202408
2,202410
2,202412
2,201512
2,202002
2,202004
2,202006
2,202008
2,202010
2,202012
2,202402
5,202406
5,202408
5,202410
5,202412
5,201512
5,202002
5,202004
5,202006
5,202008
5,202010
5,202012
5,202402
5,202404
7,202006
7,202008
7,202010
7,202012
7,202402
7,202404
7,202406
7,202408
7,202410
7,202412
7,201512
7,202002
7,202004
8,202408
8,202410
8,202412
8,201512
8,202002
8,202004
8,202006
8,202008
8,202010
8,202012
8,202402
8,202404
8,202406
9,201512
9,202002
9,202004
9,202006
9,202008
9,202010
9,202012
9,202402
9,202404
9,202406
9,202408
9,202410
9,202412
6,201512
6,202002
6,202004
6,202006
6,202008
6,202010
6,202012
6,202402
6,202404
6,202406
6,202408
6,202410
6,202412
3,201512
3,202002
3,202004
3,202006
3,202008
3,202010
3,202012
3,202402
3,202404
3,202406
3,202408
3,202410
3,202412
